SHELF NO.,PRODUCT,MOQ,STOCKTAKE,ORDERED,ITEM,SUPPLIER,CAT. NO.,TYPE,UNITS/CTN,MOQ,MOQ TYPE,R&D or MFG,CRITICALITY,COMMENTS
1,BLEACH 3% 5L /UNIT,5,7,,"3% Bleach, 5L",POCD,BLE35 ,Consumable,2,5,Units,BOTH,Critical,
,CABLE TIES /PK,4,18,,,,,,,,,,,
,MAGIC TAPE /UNIT,3,2,,,,,,,,,,,
,MASKING TAPE /UNIT,3,10,,,,,,,,,,,
2,ETHANOL 80% 5L /UNIT,5,3,Y,"Ethanol, absolute, 80% 5L bottle",POCD,ETHABS80/5P,Consumable,2,5,Units,BOTH,Critical,
,UV BULBS /UNIT,3,3,,,,,,,,,,,
3,DAY2DAY WIPES /CTN,1,4,,,,,,,,,,,
4,XS NITRILE GLOVES /CTN,0,3,,"GLOVE EXTRA SMALL SINGLE USE ""MICROFLEX"" BLUE NITRILE POWDER FREE (93833060(93-833-XS)) 250 gloves/box",Rowe Scientific,HG0189,Consumable,2500,1,Cartons,BOTH,Critical,
,S NITRILE GLOVES /CTN,1,1,Y,"GLOVE SMALL SINGLE USE ""MICROFLEX"" BLUE NITRILE POWDER FREE (93833070(93-833-S)) 250 gloves/box",Rowe Scientific,HG0152 ,Consumable,2500,1,Cartons,BOTH,Critical,
,M NITRILE GLOVES /CTN,1,4,,"GLOVE MEDIUM SINGLE USE ""MICROFLEX"" BLUE NITRILE POWDER FREE (93833080(93-833-M)) 250 gloves/box",Rowe Scientific,HG0153 ,Consumable,2500,1,Cartons,BOTH,Critical,
,L NITRILE GLOVES /CTN,1,1,Y,,,,,,,,,,
,XL NITRILE GLOVES /CTN,0,1,,,,,,,,,,,
,M LATEX GLOVES /CTN,0,0,Y,,,,,,,,,,
,L LATEX GLOVES /CTN,0,0,Y,,,,,,,,,,
